season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 09:50:00+00,Middleborough/Lakeville,1,71,0,71,9955
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:00:00+00,Bridgewater,2,31,0,102,9959
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:07:00+00,Campello,3,33,0,135,9963
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:11:00+00,Brockton,4,50,2,183,9967
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:14:00+00,Montello,5,50,1,232,9971
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:19:00+00,Holbrook/Randolph,6,24,1,255,9975
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:27:00+00,Braintree,7,18,4,269,9979
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:32:00+00,Quincy Center,8,5,8,266,9983
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:41:00+00,JFK/UMass,9,26,13,279,9987
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,2024/01/01 10:50:00+00,South Station,10,0,279,0,9991
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,4,1,day_type_01,weekday,2024/01/01 10:50:00+00,Middleborough/Lakeville,1,89,0,89,9994
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,4,1,day_type_01,weekday,2024/01/01 11:00:00+00,Bridgewater,2,57,1,145,9997
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,30,1,day_type_01,weekday,2024/01/02 03:17:00+00,Campello,3,0,0,7,10001
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,30,1,day_type_01,weekday,2024/01/02 03:21:00+00,Brockton,4,5,1,11,10002
Fall 2024,CR-Kingston,Kingston Line,49,0,day_type_01,weekday,2024/01/01 17:18:00+00,Quincy Center,3,4,5,39,10003
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,30,1,day_type_01,weekday,2024/01/02 03:24:00+00,Montello,5,2,1,12,10004
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,14,1,day_type_01,weekday,2024/01/01 16:45:00+00,Campello,3,7,1,41,10005
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,2024/01/01 23:27:00+00,Campello,3,3,1,22,10006
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,9,0,day_type_01,weekday,2024/01/01 15:15:00+00,Quincy Center,3,8,4,41,10007
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,4,1,day_type_01,weekday,2024/01/01 11:07:00+00,Campello,3,68,0,213,10008
